pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853303,sll0a_sat/spaguetti-15-e07.tptp.smt2,945898,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0120731,sat,sat
21853304,sll0a_sat/spaguetti-17-e07.tptp.smt2,945899,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0195201,unsat,unsat
21853305,sll0a_sat/spaguetti-11-e03.tptp.smt2,945900,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.0214759,sat,sat
21853306,sll0a_sat/spaguetti-12-e08.tptp.smt2,945901,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0187869,sat,sat
21853307,sll0a_sat/spaguetti-10-e03.tptp.smt2,945902,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.020186,unsat,unsat
21853308,sll0a_sat/spaguetti-18-e05.tptp.smt2,945903,Asterix-cpp,986,default.sh,1233,complete,0.010998,0.0119649,sat,sat
21853309,sll0a_sat/spaguetti-19-e02.tptp.smt2,945904,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.012208,sat,sat
21853310,sll0a_sat/spaguetti-14-e01.tptp.smt2,945905,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.020048,sat,sat
21853311,sll0a_sat/spaguetti-17-e04.tptp.smt2,945906,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0119299,sat,sat
21853312,sll0a_sat/spaguetti-13-e10.tptp.smt2,945907,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.020082,sat,sat
21853313,sll0a_sat/spaguetti-11-e10.tptp.smt2,945908,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0203239,sat,sat
