pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21854272,UDB_sat/abduced09.defs.smt2,945617,sleek-06,1297,default,1834,complete,0.087986,0.0877121,sat,sat
21854273,UDB_sat/abduced00.defs.smt2,945618,sleek-06,1297,default,1834,complete,0.070988,0.0708941,sat,sat
21854274,UDB_sat/succ-rec08.defs.smt2,945619,sleek-06,1297,default,1834,complete,0.109983,0.116645,sat,sat
21854275,UDB_sat/succ-circuit15.defs.smt2,945620,sleek-06,1297,default,1834,complete,2.51362,2.51092,sat,sat
21854276,UDB_sat/abduced05.defs.smt2,945621,sleek-06,1297,default,1834,complete,0.093985,0.0937381,sat,sat
21854277,UDB_sat/abduced08.defs.smt2,945622,sleek-06,1297,default,1834,complete,0.090985,0.09074,sat,sat
21854278,UDB_sat/succ-rec20.defs.smt2,945623,sleek-06,1297,default,1834,complete,1.52377,1.52184,sat,sat
21854279,UDB_sat/succ-circuit08.defs.smt2,945624,sleek-06,1297,default,1834,complete,0.206968,0.218545,sat,sat
21854280,UDB_sat/succ-circuit02.defs.smt2,945625,sleek-06,1297,default,1834,complete,0.045992,0.0453231,sat,sat
21854281,UDB_sat/abduced12.defs.smt2,945626,sleek-06,1297,default,1834,complete,0.084987,0.0915671,sat,sat
